"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2019","40,057","40,188","40,285","39,862","1.02M","0.00%"
"10/17/2019","40,057","40,742","40,742","39,992","2.26M","-1.76%"
"10/16/2019","40,774","41,068","41,231","40,742","996.45K","-0.32%"
"10/15/2019","40,905","40,644","41,035","40,579","990.39K","0.64%"
"10/14/2019","40,644","40,253","40,905","40,090","1.67M","1.05%"
"10/11/2019","40,220","40,318","40,351","39,992","679.17K","-0.16%"
"10/10/2019","40,285","40,285","40,514","39,992","927.27K","0.00%"
"10/09/2019","40,285","40,220","40,383","39,960","775.14K","0.49%"
"10/08/2019","40,090","39,438","40,090","39,308","1.85M","1.65%"
"10/07/2019","39,438","40,090","40,318","39,438","2.61M","-1.63%"
"10/04/2019","40,090","41,003","41,003","40,090","1.84M","-1.68%"
"10/03/2019","40,774","40,448","40,807","40,416","2.72M","-0.08%"
"10/02/2019","40,807","41,557","41,622","40,807","2.09M","-1.80%"
"10/01/2019","41,557","41,100","41,654","41,100","1.74M","1.11%"
"09/30/2019","41,100","42,046","42,208","41,068","2.04M","-1.49%"
"09/27/2019","41,720","41,231","41,980","41,068","3.85M","1.59%"
"09/26/2019","41,068","41,035","41,231","40,579","1.36M","0.40%"
"09/25/2019","40,905","39,797","40,905","39,601","1.92M","2.87%"
"09/24/2019","39,764","39,992","40,611","39,764","2.39M","-1.61%"
"09/23/2019","40,416","41,068","41,394","40,253","2.12M","-1.98%"
"09/20/2019","41,231","41,035","41,654","40,416","1.88M","1.04%"
"09/19/2019","40,807","39,927","40,807","39,666","1.61M","2.62%"
"09/18/2019","39,764","40,123","40,579","39,634","2.51M","-1.13%"
"09/17/2019","40,220","40,220","40,253","39,764","1.30M","-0.08%"
"09/16/2019","40,253","39,992","40,677","39,960","3.32M","0.90%"
"09/13/2019","39,894","38,297","39,894","38,297","7.81M","4.79%"
"09/12/2019","38,069","37,776","38,199","37,417","2.55M","1.48%"
"09/11/2019","37,515","37,417","37,515","36,733","2.10M","0.17%"
"09/10/2019","37,450","38,134","38,134","37,319","1.58M","-1.03%"
"09/09/2019","37,841","37,971","38,297","37,841","804.81K","-0.77%"
"09/06/2019","38,134","37,874","38,265","37,548","1.34M","0.69%"
"09/05/2019","37,874","38,460","38,460","37,482","2.62M","-1.44%"
"09/04/2019","38,428","38,330","38,591","38,199","1.44M","0.26%"
"09/03/2019","38,330","38,232","38,558","38,134","2.02M","0.60%"
"08/30/2019","38,102","37,482","38,199","37,482","1.94M","1.65%"
"08/29/2019","37,482","37,091","37,482","36,863","1.02M","1.05%"
"08/28/2019","37,091","37,157","37,157","36,602","1.79M","-0.18%"
"08/27/2019","37,157","38,232","38,297","36,342","5.68M","-2.06%"
"08/26/2019","37,939","37,548","38,428","37,548","3.11M","-0.08%"
"08/23/2019","37,971","38,297","38,460","37,482","3.10M","-0.85%"
"08/22/2019","38,297","39,275","39,275","38,297","3.11M","-2.33%"
"08/21/2019","39,210","39,112","39,731","38,884","2.45M","0.25%"
"08/20/2019","39,112","38,525","39,112","38,460","1.62M","1.78%"
"08/19/2019","38,428","38,395","38,721","37,580","3.44M","0.51%"
"08/16/2019","38,232","39,373","39,894","38,232","4.41M","-2.25%"
"08/15/2019","39,112","38,395","39,112","38,069","2.78M","0.92%"
"08/14/2019","38,754","38,656","38,949","38,525","2.18M","0.94%"
"08/13/2019","38,395","37,971","38,591","37,482","2.74M","0.68%"
"08/12/2019","38,134","37,776","38,460","37,352","2.14M","0.95%"
"08/09/2019","37,776","36,961","37,776","36,798","2.02M","2.57%"
"08/08/2019","36,831","37,319","37,482","36,733","2.59M","-0.88%"
"08/07/2019","37,157","35,853","37,222","35,853","3.84M","3.64%"
"08/06/2019","35,853","34,842","36,114","34,842","2.97M","0.46%"
"08/05/2019","35,690","35,201","36,309","35,103","3.93M","1.39%"
"08/02/2019","35,201","35,038","35,364","34,875","2.40M","-0.46%"
"08/01/2019","35,364","34,647","35,364","34,419","2.63M","1.59%"
"07/31/2019","34,810","33,636","34,875","33,636","2.05M","2.99%"
"07/30/2019","33,799","34,386","34,875","33,799","3.04M","-2.17%"
